date,county,population,count_new,count_total,death_new,death_total
2020-02-01,Alameda,1685886,3,0,0,0
2020-02-02,Alameda,1685886,0,0,0,0
2020-02-03,Alameda,1685886,0,0,0,0
2020-02-04,Alameda,1685886,0,0,0,0
2020-02-05,Alameda,1685886,0,0,0,0
2020-02-06,Alameda,1685886,0,0,0,0
2020-02-07,Alameda,1685886,0,0,0,0
2020-02-08,Alameda,1685886,0,0,0,0
2020-02-09,Alameda,1685886,1,0,0,0
2020-02-10,Alameda,1685886,0,0,0,0
2020-02-11,Alameda,1685886,0,0,0,0
2020-02-12,Alameda,1685886,0,0,0,0
2020-02-13,Alameda,1685886,0,0,0,0
2020-02-14,Alameda,1685886,0,0,0,0
2020-02-15,Alameda,1685886,1,0,0,0
2020-02-16,Alameda,1685886,0,0,0,0
2020-02-17,Alameda,1685886,1,0,0,0
2020-02-18,Alameda,1685886,0,0,0,0
2020-02-19,Alameda,1685886,0,0,0,0
2020-02-20,Alameda,1685886,1,0,0,0
2020-02-21,Alameda,1685886,2,0,0,0
2020-02-22,Alameda,1685886,1,0,0,0
2020-02-23,Alameda,1685886,1,0,0,0
2020-02-24,Alameda,1685886,2,0,0,0
2020-02-25,Alameda,1685886,0,0,0,0
2020-02-26,Alameda,1685886,0,0,0,0
2020-02-27,Alameda,1685886,0,0,0,0
2020-02-28,Alameda,1685886,1,0,0,0
2020-02-29,Alameda,1685886,2,0,0,0
2020-03-01,Alameda,1685886,4,1,0,0
2020-03-02,Alameda,1685886,1,0,0,0
2020-03-03,Alameda,1685886,3,1,0,0
2020-03-04,Alameda,1685886,6,0,0,0
2020-03-05,Alameda,1685886,4,0,0,0
2020-03-06,Alameda,1685886,5,1,0,0
2020-03-07,Alameda,1685886,2,0,0,0
2020-03-08,Alameda,1685886,5,1,0,0
2020-03-09,Alameda,1685886,25,0,0,0
2020-03-10,Alameda,1685886,27,0,0,0
2020-03-11,Alameda,1685886,19,1,0,0
2020-03-12,Alameda,1685886,31,4,0,0
2020-03-13,Alameda,1685886,25,3,0,0
2020-03-14,Alameda,1685886,17,-1,0,0
2020-03-15,Alameda,1685886,18,6,0,0
2020-03-16,Alameda,1685886,46,0,0,0
2020-03-17,Alameda,1685886,28,2,0,0
2020-03-18,Alameda,1685886,30,10,0,0
2020-03-19,Alameda,1685886,28,7,0,0
2020-03-20,Alameda,1685886,36,6,0,0
2020-03-21,Alameda,1685886,21,20,0,0
2020-03-22,Alameda,1685886,22,10,2,1
2020-03-23,Alameda,1685886,38,16,0,0
2020-03-24,Alameda,1685886,32,8,0,1
2020-03-25,Alameda,1685886,32,38,2,1
2020-03-26,Alameda,1685886,21,38,1,1
2020-03-27,Alameda,1685886,40,13,2,0
2020-03-28,Alameda,1685886,19,225,3,8
2020-03-29,Alameda,1685886,27,-203,0,-6
2020-03-30,Alameda,1685886,34,43,0,1
2020-03-31,Alameda,1685886,40,19,1,0
2020-04-01,Alameda,1685886,68,18,2,1
2020-04-02,Alameda,1685886,26,58,1,2
2020-04-03,Alameda,1685886,50,50,1,1
2020-04-04,Alameda,1685886,36,73,1,1
2020-04-05,Alameda,1685886,23,7,2,0
2020-04-06,Alameda,1685886,42,52,2,1
2020-04-07,Alameda,1685886,30,33,3,1
2020-04-08,Alameda,1685886,35,34,3,1
2020-04-09,Alameda,1685886,41,47,2,2
2020-04-10,Alameda,1685886,50,65,2,4
2020-04-11,Alameda,1685886,41,45,3,2
2020-04-12,Alameda,1685886,41,23,4,0
2020-04-13,Alameda,1685886,43,47,3,0
2020-04-14,Alameda,1685886,39,22,4,7
2020-04-15,Alameda,1685886,45,72,1,8
2020-04-16,Alameda,1685886,50,66,0,1
2020-04-17,Alameda,1685886,33,62,5,1
2020-04-18,Alameda,1685886,55,42,3,0
2020-04-19,Alameda,1685886,25,49,1,1
2020-04-20,Alameda,1685886,50,47,2,1
2020-04-21,Alameda,1685886,33,53,1,4
