date,county,count_new,count_total,death_new,death_total
2020-03-18,Santa Clara,151,151,6,6
2020-03-19,Santa Clara,32,183,2,8
2020-03-20,Santa Clara,63,246,0,8
2020-03-21,Santa Clara,23,269,2,10
2020-03-22,Santa Clara,15,284,3,13
2020-03-23,Santa Clara,52,336,0,13
2020-03-24,Santa Clara,53,389,4,17
2020-03-25,Santa Clara,63,452,3,20
2020-03-26,Santa Clara,35,487,0,20
2020-03-27,Santa Clara,70,557,5,25
2020-03-28,Santa Clara,30,587,2,27
2020-03-29,Santa Clara,4,591,3,30
2020-03-30,Santa Clara,154,745,1,31
2020-03-31,Santa Clara,32,777,-1,30
2020-04-01,Santa Clara,28,805,3,33
2020-04-02,Santa Clara,103,908,5,38
2020-04-03,Santa Clara,75,983,1,39
2020-04-04,Santa Clara,62,1045,0,39
2020-04-05,Santa Clara,7,1052,3,42
2020-04-06,Santa Clara,76,1128,1,43
2020-04-07,Santa Clara,65,1193,3,46
2020-04-08,Santa Clara,64,1257,1,47
2020-04-09,Santa Clara,44,1301,2,49
2020-04-10,Santa Clara,50,1351,3,52
2020-04-11,Santa Clara,90,1441,0,52
2020-04-12,Santa Clara,20,1461,1,53
2020-04-13,Santa Clara,81,1542,7,60
2020-04-14,Santa Clara,19,1561,6,66
2020-04-15,Santa Clara,131,1692,0,66
2020-04-16,Santa Clara,97,1789,3,69
2020-04-17,Santa Clara,45,1834,4,73
2020-04-18,Santa Clara,28,1862,0,73
2020-04-19,Santa Clara,16,1878,6,79
2020-04-20,Santa Clara,42,1920,4,83
2020-04-21,Santa Clara,23,1943,5,88
2020-04-22,Santa Clara,26,1969,6,94
2020-04-23,Santa Clara,27,1996,1,95
2020-04-24,Santa Clara,30,2026,3,98
2020-04-25,Santa Clara,19,2045,1,99
2020-04-26,Santa Clara,52,2097,3,102
2020-04-27,Santa Clara,7,2104,3,105
2020-04-28,Santa Clara,26,2130,1,106
2020-04-29,Santa Clara,17,2147,2,108
2020-04-30,Santa Clara,25,2172,3,111
2020-05-01,Santa Clara,4,2176,2,113
2020-05-02,Santa Clara,27,2203,2,115
2020-05-03,Santa Clara,32,2235,1,116
2020-05-04,Santa Clara,3,2238,3,119
2020-05-05,Santa Clara,11,2249,4,123
2020-05-06,Santa Clara,21,2270,3,126
2020-05-07,Santa Clara,11,2281,1,127
2020-05-08,Santa Clara,4,2285,3,130
2020-05-09,Santa Clara,32,2317,0,130
2020-05-10,Santa Clara,14,2331,0,130
2020-05-11,Santa Clara,9,2340,3,133
2020-05-12,Santa Clara,22,2362,0,133
2020-05-13,Santa Clara,8,2370,2,135
2020-05-14,Santa Clara,10,2380,0,135
2020-05-15,Santa Clara,15,2395,1,136
2020-05-16,Santa Clara,25,2420,0,136
2020-05-17,Santa Clara,33,2453,0,136
2020-05-18,Santa Clara,15,2468,0,136
2020-05-19,Santa Clara,12,2480,3,139
2020-05-20,Santa Clara,28,2508,0,139
2020-05-21,Santa Clara,12,2520,0,139
2020-05-22,Santa Clara,17,2537,0,139
2020-05-23,Santa Clara,56,2593,0,139
2020-05-24,Santa Clara,30,2623,0,139
2020-05-25,Santa Clara,24,2647,1,140
2020-05-26,Santa Clara,12,2659,0,140
2020-05-27,Santa Clara,21,2680,1,141
2020-05-28,Santa Clara,18,2698,0,141
2020-05-29,Santa Clara,9,2707,0,141
2020-05-30,Santa Clara,34,2741,0,141
2020-05-31,Santa Clara,44,2785,3,144
2020-06-01,Santa Clara,12,2797,0,144
2020-06-02,Santa Clara,22,2819,0,144
2020-06-03,Santa Clara,17,2836,0,144
2020-06-04,Santa Clara,35,2871,0,144
2020-06-05,Santa Clara,31,2902,0,144
2020-06-06,Santa Clara,32,2934,0,144
2020-06-07,Santa Clara,13,2947,0,144
2020-06-08,Santa Clara,24,2971,5,149
2020-06-09,Santa Clara,35,3006,0,149
2020-06-10,Santa Clara,26,3032,0,149
2020-06-11,Santa Clara,17,3049,0,149
2020-06-12,Santa Clara,50,3099,1,150
2020-06-13,Santa Clara,42,3141,0,150
2020-06-14,Santa Clara,37,3178,1,151
2020-06-15,Santa Clara,26,3204,1,152
2020-06-16,Santa Clara,24,3228,0,152
2020-06-17,Santa Clara,36,3264,0,152
2020-06-18,Santa Clara,74,3338,0,152
2020-06-19,Santa Clara,38,3376,0,152
2020-06-20,Santa Clara,59,3435,2,154
2020-06-21,Santa Clara,79,3514,0,154
2020-06-22,Santa Clara,66,3580,0,154
2020-06-23,Santa Clara,120,3700,1,155
2020-06-24,Santa Clara,112,3812,0,155
2020-06-25,Santa Clara,71,3883,0,155
2020-06-26,Santa Clara,102,3985,0,155
2020-06-27,Santa Clara,58,4043,0,155
2020-06-28,Santa Clara,150,4193,0,155
2020-06-29,Santa Clara,179,4372,1,156
2020-06-30,Santa Clara,104,4476,1,157
2020-07-01,Santa Clara,69,4545,1,158
2020-07-02,Santa Clara,177,4722,1,159
2020-07-03,Santa Clara,98,4820,1,160
2020-07-04,Santa Clara,225,5045,0,160
2020-07-05,Santa Clara,192,5237,1,161
2020-07-06,Santa Clara,132,5369,3,164
2020-07-07,Santa Clara,69,5438,1,165
2020-07-08,Santa Clara,72,5510,0,165
2020-07-09,Santa Clara,128,5638,1,166
2020-07-10,Santa Clara,181,5819,0,166
2020-07-11,Santa Clara,140,5959,0,166
2020-07-12,Santa Clara,293,6252,0,166
2020-07-13,Santa Clara,236,6488,1,167
2020-07-14,Santa Clara,198,6686,3,170
2020-07-15,Santa Clara,214,6900,3,173
2020-07-16,Santa Clara,90,6990,3,176
2020-07-17,Santa Clara,90,7080,1,177
2020-07-18,Santa Clara,175,7255,0,177
2020-07-19,Santa Clara,148,7403,0,177
2020-07-20,Santa Clara,308,7711,1,178
2020-07-21,Santa Clara,278,7989,0,178
2020-07-22,Santa Clara,277,8266,2,180
2020-07-23,Santa Clara,192,8458,1,181
2020-07-24,Santa Clara,200,8658,2,183
2020-07-25,Santa Clara,109,8767,1,184
2020-07-26,Santa Clara,219,8986,0,184
2020-07-27,Santa Clara,171,9157,0,184
2020-07-28,Santa Clara,150,9307,1,185
2020-07-29,Santa Clara,260,9567,2,187
2020-07-30,Santa Clara,141,9708,3,190
2020-07-31,Santa Clara,155,9863,1,191
2020-08-01,Santa Clara,418,10281,0,191
2020-08-02,Santa Clara,296,10577,0,191
2020-08-03,Santa Clara,170,10747,0,191
2020-08-04,Santa Clara,239,10986,1,192
2020-08-05,Santa Clara,88,11074,4,196
2020-08-06,Santa Clara,206,11280,0,196
2020-08-07,Santa Clara,129,11409,7,203
2020-08-08,Santa Clara,206,11615,1,204
2020-08-09,Santa Clara,263,11878,1,205
2020-08-10,Santa Clara,737,12615,0,205
2020-08-11,Santa Clara,305,12920,2,207
2020-08-12,Santa Clara,82,13002,0,207
2020-08-13,Santa Clara,255,13257,1,208
2020-08-14,Santa Clara,528,13785,0,208
2020-08-15,Santa Clara,320,14105,1,209
2020-08-16,Santa Clara,224,14329,0,209
2020-08-17,Santa Clara,217,14546,0,209
2020-08-18,Santa Clara,240,14786,4,213
2020-08-19,Santa Clara,208,14994,3,216
2020-08-20,Santa Clara,168,15162,1,217
2020-08-21,Santa Clara,237,15399,5,222
2020-08-22,Santa Clara,191,15590,2,224
2020-08-23,Santa Clara,322,15912,0,224
2020-08-24,Santa Clara,137,16049,0,224
2020-08-25,Santa Clara,150,16199,9,233
2020-08-26,Santa Clara,84,16283,4,237
2020-08-27,Santa Clara,212,16495,3,240
2020-08-28,Santa Clara,201,16696,5,245
2020-08-29,Santa Clara,202,16898,-1,244
2020-08-30,Santa Clara,147,17045,0,244
2020-08-31,Santa Clara,166,17211,0,244
2020-09-01,Santa Clara,108,17319,4,248
2020-09-02,Santa Clara,354,17673,2,250
2020-09-03,Santa Clara,206,17879,3,253
2020-09-04,Santa Clara,195,18074,1,254
2020-09-05,Santa Clara,237,18311,3,257
2020-09-06,Santa Clara,184,18495,3,260
2020-09-07,Santa Clara,101,18596,0,260
2020-09-08,Santa Clara,49,18645,0,260
2020-09-09,Santa Clara,114,18759,3,263
2020-09-10,Santa Clara,111,18870,0,263
2020-09-11,Santa Clara,195,19065,13,276
2020-09-12,Santa Clara,265,19330,4,280
2020-09-13,Santa Clara,126,19456,3,283
2020-09-14,Santa Clara,89,19545,0,283
2020-09-15,Santa Clara,65,19610,4,287
2020-09-16,Santa Clara,74,19684,6,293
2020-09-17,Santa Clara,141,19825,2,295
2020-09-18,Santa Clara,233,20058,0,295
2020-09-19,Santa Clara,112,20170,1,296
2020-09-20,Santa Clara,160,20330,0,296
2020-09-21,Santa Clara,102,20432,1,297
2020-09-22,Santa Clara,82,20514,2,299
2020-09-23,Santa Clara,61,20575,1,300
